,Time,Data,tire id,lib ver,sensor ver,receiver ver,pressure,z-axis,x-axis,volt (V),temp (°C),frame id,crc,rssi,period(ms)
1,10-30 10:51:58:169,"[KUMHO110087A90C04246B000100F700FCAF5232F46A00AA]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.972,-0.211,2.97,27.0,13044,00,-86,0
2,10-30 10:51:58:728,"[KUMHO110087A90C9C246B000100E500FCB05249776A00A6]
",87A90C9C,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.98,27.0,18807,00,-90,0
3,10-30 10:51:59:239,"[KUMHO110087A90C83246B000100E000FBAF5210B66A00A6]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.97,27.0,4278,00,-90,0
4,10-30 10:52:00:022,"[KUMHO110087A92031246B000100E100FBAF5272906A00A6]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.97,27.0,29328,00,-90,0
5,10-30 10:52:00:166,"[KUMHO110087A90C87246B000200E400FDB05338EA6A00A6]
",87A90C87,24,1.0.7,1.0.6,0.1,-3.214,-0.172,2.98,28.0,14570,00,-90,0
6,10-30 10:52:00:837,"[KUMHO110087A90D98246B0001010E00FD9F521B976A00A5]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.172,2.81,27.0,7063,00,-91,0
7,10-30 10:52:01:315,"[KUMHO110087A91543246B000100E900FCB052BFA26A00A5]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.211,2.98,27.0,49058,00,-91,0
8,10-30 10:52:01:380,"[KUMHO110087A90C9E246B000200E400FCB05208886A00A3]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,27.0,2184,00,-93,0
9,10-30 10:52:03:489,"[KUMHO110087A91C14246B000100E500FBAF511F2C6A00AB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.25,2.97,26.0,7980,00,-85,0
10,10-30 10:52:03:920,"[KUMHO110087A90D9A246B0001010B00FBB0521EDD6A00A8]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.25,2.98,27.0,7901,00,-88,0
11,10-30 10:52:04:879,"[KUMHO110087A90CCF246B000100E100FBAB50A7956A00B0]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.93,25.0,42901,00,-80,0
12,10-30 10:52:05:517,"[KUMHO110087A91B39246B0002010D00FBAF52B68D6A00A9]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,27.0,46733,00,-87,0
13,10-30 10:52:05:917,"[KUMHO110087A91CB2246B0002011C0101B04E1E176A00A5]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.016,2.98,23.0,7703,00,-91,0
14,10-30 10:52:08:297,"[KUMHO110087A90C04246B000100F700FDB05232F56A00AA]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.972,-0.172,2.98,27.0,13045,00,-86,10128
15,10-30 10:52:08:792,"[KUMHO110087A90C9C246B000200E400FBB05249786A00A7]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.214,-0.25,2.98,27.0,18808,00,-89,10064
16,10-30 10:52:09:479,"[KUMHO110087A90C83246B000100E000FBAF5210B76A00A8]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.97,27.0,4279,00,-88,10240
17,10-30 10:52:10:262,"[KUMHO110087A92031246B000100E100FAAF5250916A01A5]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.289,2.97,27.0,20625,01,-91,10240
18,10-30 10:52:10:965,"[KUMHO110087A90D98246B0001010E00FD9F521B986A00A6]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.172,2.81,27.0,7064,00,-90,10128
19,10-30 10:52:11:653,"[KUMHO110087A91543246B000100690099305011216A01A5]
",87A91543,24,1.0.7,1.0.6,0.0,-17.728,-4.072,1.7,25.0,4385,01,-91,10337
20,10-30 10:52:13:553,"[KUMHO110087A91C14246B000100E400FCAF511F2D6A00AC]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.97,26.0,7981,00,-84,10064
21,10-30 10:52:13:937,"[KUMHO110087A90D9A246B0001010B00FBB0521EDE6A00A1]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.25,2.98,27.0,7902,00,-95,10017
22,10-30 10:52:14:960,"[KUMHO110087A90CCF246B000200E100FCAB50A7966A00B0]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.568,-0.211,2.93,25.0,42902,00,-80,10081
23,10-30 10:52:15:674,"[KUMHO110087A91B39246B0002010E00FBAF52B68E6A00A9]
",87A91B39,24,1.0.7,1.0.6,0.1,1.742,-0.25,2.97,27.0,46734,00,-87,10156
24,10-30 10:52:16:142,"[KUMHO110087A91CB2246B0002011B0101B04F1E186A00A5]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.016,2.98,24.0,7704,00,-91,10224
25,10-30 10:52:18:426,"[KUMHO110087A90C04246B000100F800FDB05232F66A00A9]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.854,-0.172,2.98,27.0,13046,00,-87,10128
