Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-03  05:22:49,EFM1[KUMHO110087A90C9C246B000100E400FBB051D86D6A00C6],87A90C9C,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,26.0,55405,00,-58,-1
1,11-03  05:22:50,EFM1[KUMHO110087A92031246B000100E100FBAF52FEF56A00C0],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,27.0,65269,00,-64,1001
1,11-03  05:22:50,EFM1[KUMHO110087A90C87246B000100E400FDB051C7396A00C0],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51001,00,-64,1337
1,11-03  05:22:52,EFM1[KUMHO110087A91CB2246B0001011B0100B04FAB2C6A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,72.00,4.915,2.98,24.0,43820,00,-58,2823
1,11-03  05:22:54,EFM1[KUMHO110087A90D98246B0001010D00FD9E51A9BE6A00C2],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.916,2.8,26.0,43454,00,-62,5379
1,11-03  05:22:55,EFM1[KUMHO110087A90CCF246B000100E100FBAA4F365C6A00C3],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.92,24.0,13916,00,-61,5747
1,11-03  05:23:01,EFM1[KUMHO110087A90C87246B000100E400FDB051C73A6A00C0],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51002,00,-64,10113
1,11-03  05:23:04,EFM1[KUMHO110087A90C9E246B000100E400FCB051948E6A00CB],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38030,00,-53,14980
1,11-03  05:23:05,EFM1[KUMHO110087A90D98246B0001010E00FC9F50A9BF6A00C2],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.81,25.0,43455,00,-62,10129
1,11-03  05:23:05,EFM1[KUMHO110087A90CCF246B000100E100FBAA4F365D6A00C2],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.92,24.0,13917,00,-62,10097
1,11-03  05:23:05,EFM1[KUMHO110087A90C83246B000100DF00FAB1519D4D6A00C5],87A90C83,24,1.0.7,1.0.6,-2.4,12.00,2.917,2.99,26.0,40269,00,-59,16355
1,11-03  05:23:11,EFM1[KUMHO110087A92031246B000100E100FBAF52FEF76A00C1],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,27.0,65271,00,-63,20497
