Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-04  01:11:04,EFM1[KUMHO110087A90C9E246B000100E400FBB04FAF956A00C7],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,24.0,44949,00,-57,-1
1,11-04  01:11:06,EFM1[KUMHO110087290FE0244B000100E100FBAB4E2CC76A01AB],87290FE0,24,-,1.0.6,-2.4,14.00,3.250,2.93,23.0,11463,01,-85,1309
2,11-04  01:11:07,EFM2[KUMHO110087A90CCF246B000100E100FAAA4D51EE6A00B7],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.92,22.0,20974,00,-73,2575
1,11-04  01:11:08,EFM1[KUMHO110087A91B39246B0001010D00FBAF515FA56A00BE],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,24485,00,-66,0
2,11-04  01:11:08,EFM2[KUMHO110087A91B39246B0001010D00FBAF515FA56A00C1],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,24485,00,-63,3557
1,11-04  01:11:09,EFM1[KUMHO110087A91CB2246B0002011B00FEB04EC66C6A00C3],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.249,2.98,23.0,50796,00,-61,4440
2,11-04  01:11:10,EFM2[KUMHO110087A90C87246B000100E400FCB051E2B56A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,58037,00,-66,5773
2,11-04  01:11:10,EFM2[KUMHO110087A90C83246B000100E000FAB151B8706A00C2],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,47216,00,-62,5993
1,11-04  01:11:10,EFM1[KUMHO110087A90C83246B000100E000FAB151B8706A00C3],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,47216,00,-61,0
1,11-04  01:11:10,EFM1[KUMHO110087A90C87246B000100E400FCB051E2B56A00BF],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,58037,00,-65,1
2,11-04  01:11:11,EFM2[KUMHO110087A90D9A246B0001010B00FAB051C9FA6A00BE],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51706,00,-66,0
1,11-04  01:11:11,EFM1[KUMHO110087A90D9A246B0001010B00FAB051C9FA6A00BD],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51706,00,-67,6829
2,11-04  01:11:11,EFM2[KUMHO110087A91C14246B000000A100D4B010C9D46A01C3],87A91C14,24,1.0.7,1.0.6,-2.8,-50.00,-9.737,2.98,-39.0,51668,01,-61,7074
1,11-04  01:11:12,EFM1[KUMHO110087A90D98246B0001010D00FD9E50C52F6A00C5],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.916,2.8,25.0,50479,00,-59,7281
1,11-04  01:11:12,EFM1[KUMHO110087A91543246B000100E900FBB15165A06A00BF],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26016,00,-65,0
2,11-04  01:11:12,EFM2[KUMHO110087A91543246B000100E900FBB15165A06A00C2],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26016,00,-62,7920
2,11-04  01:11:12,EFM2[KUMHO110087A92031246B000100E100FAAF511A126A00BB],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6674,00,-69,8167
2,11-04  01:11:13,EFM2[KUMHO110087A90C04246B000100E800FDAF4FDC5A6A00BD],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.97,24.0,56410,00,-67,8996
1,11-04  01:11:13,EFM1[KUMHO110087A90C04246B000100E800FDAF4FDC5A6A00BB],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.97,24.0,56410,00,-69,0
1,11-04  01:11:13,EFM1[KUMHO110087A92031246B000100E100FAAF511A126A00BB],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6674,00,-69,270
1,11-04  01:11:15,EFM1[KUMHO110087A90C9E246B000100E300FBB04FAF966A00C8],87A90C9E,24,1.0.7,1.0.6,-2.4,16.00,3.250,2.98,24.0,44950,00,-56,10293
2,11-04  01:11:15,EFM2[KUMHO110087A90C9E246B000100E300FBB04FAF966A00C4],87A90C9E,24,1.0.7,1.0.6,-2.4,16.00,3.250,2.98,24.0,44950,00,-60,3
1,11-04  01:11:16,EFM1[KUMHO110086A90FF2246A000100E100FBAE4E2CC86A01AE],86A90FF2,24,1.0.6,1.0.6,-2.4,14.00,3.250,2.96,23.0,11464,01,-82,11636
1,11-04  01:11:16,EFM1[KUMHO110087A90C07246B000100F300EDAF4D83C16A00AA],87A90C07,24,1.0.7,1.0.6,-2.4,32.00,-1.412,2.97,22.0,33729,00,-86,12067
1,11-04  01:11:17,EFM1[KUMHO110087A90CCF246B000100E100F9AA4D51EF6A00B4],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.584,2.92,22.0,20975,00,-76,1
2,11-04  01:11:17,EFM2[KUMHO110087A90CCF246B000100E100F9AA4D51EF6A00B7],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.584,2.92,22.0,20975,00,-73,10097
1,11-04  01:11:18,EFM1[KUMHO110087A91B39246B0001010D00FBAF515FA66A00BE],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,24486,00,-66,10164
2,11-04  01:11:18,EFM2[KUMHO110087A91B39246B0001010D00FBAF515FA66A00BE],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,24486,00,-66,2
2,11-04  01:11:19,EFM2[KUMHO110087A91CB2246B0002011B00FFB04EC66D6A00C3],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.582,2.98,23.0,50797,00,-61,10213
1,11-04  01:11:19,EFM1[KUMHO110087A91CB2246B0002011B00FFB04EC66D6A00C1],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.582,2.98,23.0,50797,00,-63,1
1,11-04  01:11:20,EFM1[KUMHO110087A90C87246B000100E300FCB051E2B66A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,16.00,3.583,2.98,26.0,58038,00,-66,10108
2,11-04  01:11:20,EFM2[KUMHO110087A90C83246B000100DF00FBB151B8716A00C3],87A90C83,24,1.0.7,1.0.6,-2.4,12.00,3.250,2.99,26.0,47217,00,-61,10239
1,11-04  01:11:20,EFM1[KUMHO110087A90C83246B000100DF00FBB151B8716A00C4],87A90C83,24,1.0.7,1.0.6,-2.4,12.00,3.250,2.99,26.0,47217,00,-60,2
2,11-04  01:11:20,EFM2[KUMHO110087A90C87246B000100E300FCB051E2B66A00BD],87A90C87,24,1.0.7,1.0.6,-2.4,16.00,3.583,2.98,26.0,58038,00,-67,1
1,11-04  01:11:21,EFM1[KUMHO110087A91C14246B000100E500FAB050C9D56A00C0],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,2.917,2.98,25.0,51669,00,-64,10094
2,11-04  01:11:21,EFM2[KUMHO110087A90D9A246B0001010B00FAB151C9FB6A00B8],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.99,26.0,51707,00,-72,1
1,11-04  01:11:21,EFM1[KUMHO110087A90D9A246B0001010B00FAB151C9FB6A00BB],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.99,26.0,51707,00,-69,10037
2,11-04  01:11:21,EFM2[KUMHO110087A91C14246B000100E500FAB050C9D56A00C1],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,2.917,2.98,25.0,51669,00,-63,1
1,11-04  01:11:22,EFM1[KUMHO110087A90D98246B0001010D00FC9E51C5306A00C4],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50480,00,-60,10180
2,11-04  01:11:22,EFM2[KUMHO110087A90D98246B0001010D00FC9E51C5306A00C0],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50480,00,-64,1
1,11-04  01:11:23,EFM1[KUMHO110087A91543246B000100E900FAB15065A16A00C2],87A91543,24,1.0.7,1.0.6,-2.4,22.00,2.917,2.99,25.0,26017,00,-62,1
2,11-04  01:11:23,EFM2[KUMHO110087A92031246B000100E100FAAF511A136A00B9],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6675,00,-71,10139
1,11-04  01:11:23,EFM1[KUMHO110087A92031246B000100E100FAAF511A136A00BA],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6675,00,-70,2
2,11-04  01:11:23,EFM2[KUMHO110087A90C04246B000100E800FDB04FDC5B6A00BC],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.98,24.0,56411,00,-68,10156
2,11-04  01:11:23,EFM2[KUMHO110087A91543246B000100E900FAB15065A16A00C1],87A91543,24,1.0.7,1.0.6,-2.4,22.00,2.917,2.99,25.0,26017,00,-63,10354
2,11-04  01:11:25,EFM2[KUMHO110087A90C9E246B000100E400FCB04FAF976A00C4],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,24.0,44951,00,-60,10298
1,11-04  01:11:25,EFM1[KUMHO110087A90C9E246B000100E400FCB04FAF976A00C8],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,24.0,44951,00,-56,1
1,11-04  01:11:27,EFM1[KUMHO110087A90CCF246B000100E100FAAA4D51F06A00B6],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.92,22.0,20976,00,-74,10100
2,11-04  01:11:28,EFM2[KUMHO110087A91B39246B0002010D00FAAF515FA76A00BF],87A91B39,24,1.0.7,1.0.6,-2.0,58.00,2.917,2.97,26.0,24487,00,-65,1
1,11-04  01:11:28,EFM1[KUMHO110087A91B39246B0002010D00FAAF515FA76A00BC],87A91B39,24,1.0.7,1.0.6,-2.0,58.00,2.917,2.97,26.0,24487,00,-68,10262
1,11-04  01:11:29,EFM1[KUMHO110087A91CB2246B0002011B00FEB04EC66E6A00C2],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.249,2.98,23.0,50798,00,-62,1
2,11-04  01:11:29,EFM2[KUMHO110087A91CB2246B0002011B00FEB04EC66E6A00C1],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.249,2.98,23.0,50798,00,-63,10212
2,11-04  01:11:30,EFM2[KUMHO110087A90C87246B000100E400FCB052E2B76A00BD],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,27.0,58039,00,-67,10107
1,11-04  01:11:30,EFM1[KUMHO110087A90C87246B000100E400FCB052E2B76A00BD],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,27.0,58039,00,-67,1
1,11-04  01:11:31,EFM1[KUMHO110087A91C14246B000100E400FBB050C9D66A00C4],87A91C14,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,25.0,51670,00,-60,10051
2,11-04  01:11:31,EFM2[KUMHO110087A90D9A246B0001010B00FAB051C9FC6A00C0],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51708,00,-64,10038
1,11-04  01:11:31,EFM1[KUMHO110087A90C83246B000100E000FAB151B8726A00C3],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,47218,00,-61,10241
1,11-04  01:11:31,EFM1[KUMHO110087A90D9A246B0001010B00FAB051C9FC6A00BE],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51708,00,-66,1
2,11-04  01:11:31,EFM2[KUMHO110087A91C14246B000100E400FBB050C9D66A00C4],87A91C14,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,25.0,51670,00,-60,1
2,11-04  01:11:32,EFM2[KUMHO110087A90D98246B0001010D00FC9E51C5316A00BD],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50481,00,-67,10050
1,11-04  01:11:32,EFM1[KUMHO110087A90D98246B0001010D00FC9E51C5316A00C3],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50481,00,-61,1
2,11-04  01:11:32,EFM2[KUMHO110087A90C9C246B000200E400FAB04FF4096A00BC],87A90C9C,24,1.0.7,1.0.6,-2.0,17.00,2.917,2.98,24.0,62473,00,-68,27510
2,11-04  01:11:33,EFM2[KUMHO110087A92031246B000100E100FBAF511A146A00BD],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,26.0,6676,00,-67,10348
