Counter,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(℃),frame id,crc,rssi,period(ms),
10323,06-26  04:40:15,[KUMHO110087A90EDD2066000100F100FBAE4E0068D744285300BE],87A90EDD,20,1.0.2,1.0.4,0.0,30.00,3.250,2.96,23.0,55108,00,-66,9328,
10324,06-26  04:40:16,[KUMHO110087A934392066000100F8010DB14E0068FF4D285400C5],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.244,2.99,23.0,65357,00,-59,963,
10325,06-26  04:40:18,[KUMHO110087A90C492066000100EC00FCAF4D00682AED285500B9],87A90C49,20,1.0.2,1.0.4,0.0,25.00,3.583,2.97,22.0,10989,00,-71,1753,
10326,06-26  04:40:20,[KUMHO110087A934372066000100F700FEAF4F0068D0D7285600C9],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.249,2.97,24.0,53463,00,-55,1874,
10327,06-26  04:40:26,[KUMHO110087A90EDD2066000100F100FAAE4E0068D745285700BE],87A90EDD,20,1.0.2,1.0.4,0.0,30.00,2.917,2.96,23.0,55109,00,-66,5643,
10328,06-26  04:40:26,[KUMHO110087A934392066000100F8010EB14E0068FF4E285800C6],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.577,2.99,23.0,65358,00,-58,878,
10329,06-26  04:40:28,[KUMHO110087A90C492066000100EC00FDAF4D00682AEE285900BC],87A90C49,20,1.0.2,1.0.4,0.0,25.00,3.916,2.97,22.0,10990,00,-68,1924,
10330,06-26  04:40:30,[KUMHO110087A934372066000100F700FEAF4F0068D0D8285A00C9],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.249,2.97,24.0,53464,00,-55,1889,
10331,06-26  04:40:36,[KUMHO110087A90EDD2066000100F000F9AE4E0068D746285B00C0],87A90EDD,20,1.0.2,1.0.4,0.0,29.00,2.584,2.96,23.0,55110,00,-64,5562,
10332,06-26  04:40:37,[KUMHO110087A934392066000100F7010CB14E0068FF4F285C00C2],87A93439,20,1.0.2,1.0.4,0.0,36.00,8.911,2.99,23.0,65359,00,-62,826,
10333,06-26  04:40:39,[KUMHO110087A90C492066000100EB00FCAF4D00682AEF285D00BD],87A90C49,20,1.0.2,1.0.4,0.0,24.00,3.583,2.97,22.0,10991,00,-67,2058,
