Counter,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(℃),frame id,crc,rssi,period(ms),
8202,06-26  03:10:20,[KUMHO110087A934B42067000100E70111B14F0068D4E3200A00BC],87A934B4,20,1.0.3,1.0.4,0.0,20.00,10.576,2.99,24.0,54499,00,-68,1704,
8203,06-26  03:10:23,[KUMHO110087A934372066000100F700FEAF500068CECC200B00C9],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.249,2.97,25.0,52940,00,-55,3207,
8204,06-26  03:10:26,[KUMHO110087A934392066000100F8010DB14F0068FD3A200C00C2],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.244,2.99,24.0,64826,00,-62,3221,
8205,06-26  03:10:28,[KUMHO110087A90EDD2066000100F000FAAE4F0068D536200D00C3],87A90EDD,20,1.0.2,1.0.4,0.0,29.00,2.917,2.96,24.0,54582,00,-61,1993,
8206,06-26  03:10:29,[KUMHO110087A90C492066000100EC00FDAF4F006828E3200E00BF],87A90C49,20,1.0.2,1.0.4,0.0,25.00,3.916,2.97,24.0,10467,00,-65,1067,
8207,06-26  03:10:30,[KUMHO110087A934B42067000100E70112B14F0068D4E4200F00BE],87A934B4,20,1.0.3,1.0.4,0.0,20.00,10.909,2.99,24.0,54500,00,-66,706,
8208,06-26  03:10:33,[KUMHO110087A934372066000100F600FEAF500068CECD201000CB],87A93437,20,1.0.2,1.0.4,0.0,35.00,4.249,2.97,25.0,52941,00,-53,3230,
8209,06-26  03:10:36,[KUMHO110087A934392066000100F8010DB14F0068FD3B201100C0],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.244,2.99,24.0,64827,00,-64,3045,
8210,06-26  03:10:38,[KUMHO110087A90EDD2066000100F100FAAE4F0068D537201200C3],87A90EDD,20,1.0.2,1.0.4,0.0,30.00,2.917,2.96,24.0,54583,00,-61,2093,
8211,06-26  03:10:40,[KUMHO110087A90C492066000100EC00FEAF4F006828E4201300BD],87A90C49,20,1.0.2,1.0.4,0.0,25.00,4.249,2.97,24.0,10468,00,-67,1142,
8212,06-26  03:10:40,[KUMHO110087A934B42067000100E70111B14F0068D4E5201400BC],87A934B4,20,1.0.3,1.0.4,0.0,20.00,10.576,2.99,24.0,54501,00,-68,675,
8213,06-26  03:10:44,[KUMHO110087A934372066000100F700FEAF500068CECE201500C9],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.249,2.97,25.0,52942,00,-55,3258,
8214,06-26  03:10:47,[KUMHO110087A934392066000100F7010EB14F0068FD3C201600C1],87A93439,20,1.0.2,1.0.4,0.0,36.00,9.577,2.99,24.0,64828,00,-63,2872,
8215,06-26  03:10:49,[KUMHO110087A90EDD2066000100F100FAAE4F0068D538201700C3],87A90EDD,20,1.0.2,1.0.4,0.0,30.00,2.917,2.96,24.0,54584,00,-61,2190,
8216,06-26  03:10:50,[KUMHO110087A90C492066000100EC00FDAF4F006828E5201800BE],87A90C49,20,1.0.2,1.0.4,0.0,25.00,3.916,2.97,24.0,10469,00,-66,1224,
8217,06-26  03:10:51,[KUMHO110087A934B42067000100E70111B14F0068D4E6201900C0],87A934B4,20,1.0.3,1.0.4,0.0,20.00,10.576,2.99,24.0,54502,00,-64,644,
8218,06-26  03:10:54,[KUMHO110087A934372066000100F700FEAF500068CECF201A00C8],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.249,2.97,25.0,52943,00,-56,3279,
8219,06-26  03:10:57,[KUMHO110087A934392066000100F8010DB14F0068FD3D201B00C1],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.244,2.99,24.0,64829,00,-63,2702,
8220,06-26  03:10:59,[KUMHO110087A90EDD2066000100F000F9AE4F0068D539201C00C3],87A90EDD,20,1.0.2,1.0.4,0.0,29.00,2.584,2.96,24.0,54585,00,-61,2288,
8221,06-26  03:11:00,[KUMHO110087A90C492066000100EC00FDAF4F006828E6201D00BF],87A90C49,20,1.0.2,1.0.4,0.0,25.00,3.916,2.97,24.0,10470,00,-65,1303,
8222,06-26  03:11:01,[KUMHO110087A934B42067000100E70112B14F0068D4E7201E00BE],87A934B4,20,1.0.3,1.0.4,0.0,20.00,10.909,2.99,24.0,54503,00,-66,629,
8223,06-26  03:11:04,[KUMHO110087A934372066000100F700FEAF500068CED0201F00C9],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.249,2.97,25.0,52944,00,-55,3283,
8224,06-26  03:11:07,[KUMHO110087A934392066000100F8010DB14F0068FD3E202000C2],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.244,2.99,24.0,64830,00,-62,2537,
8225,06-26  03:11:09,[KUMHO110087A90EDD2066000100F000FAAE4F0068D53A202100C2],87A90EDD,20,1.0.2,1.0.4,0.0,29.00,2.917,2.96,24.0,54586,00,-62,2383,
8226,06-26  03:11:11,[KUMHO110087A90C492066000100EC00FDAF4F006828E7202200BE],87A90C49,20,1.0.2,1.0.4,0.0,25.00,3.916,2.97,24.0,10471,00,-66,1380,
8227,06-26  03:11:11,[KUMHO110087A934B42067000100E70111B14F0068D4E8202300C0],87A934B4,20,1.0.3,1.0.4,0.0,20.00,10.576,2.99,24.0,54504,00,-64,576,
8228,06-26  03:11:15,[KUMHO110087A934372066000100F600FEAF500068CED1202400CC],87A93437,20,1.0.2,1.0.4,0.0,35.00,4.249,2.97,25.0,52945,00,-52,3333,
,,,,,,,,,,,,,,,,
